ident, source, url, result
8195075,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/seis_possiveis_suspeitos_no_alerta_terrorista_em_munique.html,Downloaded
8195085,Visão,http://visao.sapo.pt/actualidade/visaose7e/newsletter/2016-01-01-Se7e-ideias-para-ouvir-musica-bater-palmas-e-dancar,Downloaded
8195087,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/grupo_extremista_estado_islamico_suspeito_de_planear_atentado_suicida_em_munique.html,Downloaded
8195089,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/presidente_da_costa_do_marfim_indulta_3100_prisioneiros_detidos_na_crise_pos_eleitoral.html,Downloaded
8195090,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/mais_de_1100_civis_mortos_pela_policia_nos_estados_unidos_em_2015.html,Downloaded
8195091,Destak,http://www.destak.pt/artigo/252124-mais-de-1.100-civis-mortos-pela-policia-nos-estados-unidos-em-2015,Downloaded
8195092,Destak,http://www.destak.pt/artigo/252125-capital-da-india-testa-circulacao-automovel-alternada-para-reduzir-poluicao,Downloaded
8195093,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/capital_da_india_testa_circulacao_automovel_alternada_para_reduzir_poluicao.html,Downloaded
8195094,Destak,http://www.destak.pt/artigo/252127-jornalista-francesa-expulsa-da-china-chegou-a-paris,Downloaded
8195095,Destak,http://www.destak.pt/artigo/252126-novos-criterios-para-atribuicao-da-pensao-de-invalidez-entram-hoje-em-vigor,Downloaded
8195096,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/jornalista_francesa_expulsa_da_china_chegou_a_paris.html,Downloaded
8195097,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/novos_criterios_para_atribuicao_da_pensao_de_invalidez_entram_hoje_em_vigor.html,Downloaded
8195098,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/acordo_entra_hoje_em_vigor_no_brasil_depois_de_tres_anos_de_polemica.html,Bad URL
8195099,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/sobem_para_215_milhoes_os_falantes_de_portugues_a_usar_o_acordo_ortografico.html,Downloaded
8195100,Euronews,http://pt.euronews.com/2016/01/01/terror-em-munique-a-poucas-horas-da-meia-noite/,Downloaded
8195101,Euronews,http://pt.euronews.com/2016/01/01/seguranca-ao-rubro-marca-festividades-de-ano-novo/,Downloaded
8195102,Euronews,http://pt.euronews.com/2016/01/01/dubai-hotel-de-luxo-consumido-pelas-chamas/,Downloaded
8195103,Destak,http://www.destak.pt/artigo/252129-sobem-para-215-milhoes-os-falantes-de-portugues-a-usar-o-acordo-ortografico,Downloaded
8195104,Destak,http://www.destak.pt/artigo/252128-acordo-entra-hoje-em-vigor-no-brasil-depois-de-tres-anos-de-polemica,Downloaded
8195105,Euronews,http://pt.euronews.com/2016/01/01/de-paris-ao-rio-fogos-de-artificio-recebem-2016/,Downloaded
8195106,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/portugal/detalhe/jovem_procurado_no_mar_da_nazare.html,Downloaded
8195107,Expresso,http://expresso.sapo.pt/sociedade/2016-01-01-PJ-investiga-concurso-presidido-por-diretor-do-DCIAP,Downloaded
8195108,Expresso,http://expresso.sapo.pt/economia/2016-01-01-Bolsas-regressaram-ao-vermelho-perderam-mais-de-4-em-2015,Downloaded
8195109,Correio da Manhã,http://www.cmjornal.xl.pt/mundo/detalhe/lider_da_coreia_do_norte_disposto_a_falar_com_seul.html,Downloaded
8195110,Correio da Manhã,http://www.cmjornal.xl.pt/mundo/detalhe/alerta_nas_fiji_etonga_devido_a_ciclone.html,Downloaded
